,發生時間,發生地點,死亡受傷人數,車種,經度,緯度,data_id
1416,108年10月15日 20時50分00秒,彰化縣溪湖鎮媽厝里海豐路前0.0公尺,死亡1;受傷0,普通重型-機車,120.49441999999999,23.927047,108a11416
1417,108年10月15日 22時33分21秒,新竹縣竹東鎮北興路2段276號前0.0公尺附近,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用);自用-小客車;自用-小貨車(含客、貨兩用);自用-小客車,121.08958700000001,24.742752,108a11417
1418,108年10月16日 04時48分00秒,宜蘭縣五結鄉利澤路前0.0公尺附近,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.82225700000001,24.668209,108a11418
1419,108年10月16日 07時43分00秒,彰化縣伸港鄉新港村新港路46號前0.0公尺前,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.48828200000001,24.139633,108a11419
1420,108年10月16日 09時17分00秒,高雄市小港區中安路310號前0.0公尺前,死亡1;受傷1,電動自行車-慢車;營業用-小貨車(含客、貨兩用);普通重型-機車;普通重型-機車,120.34598700000001,22.583707,108a11420
1421,108年10月16日 16時18分00秒,臺中市東區干城里自由路三段前0.0公尺,死亡2;受傷0,自用-曳引車;普通輕型-機車;乘客-人,120.69407700000001,24.142744,108a11421
1422,108年10月17日 05時13分30秒,新竹縣新豐鄉台61線北上62K處,死亡1;受傷0,自用-大貨車;營業用-曳引車,120.978951,24.928765,108a11422
1423,108年10月17日 06時35分00秒,桃園市中壢區月桃路一段(月眉三路)口旁,死亡1;受傷0,自用-小客車,121.180229,25.01332,108a11423
1424,108年10月17日 08時25分00秒,臺北市內湖區成功路5段37號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,121.60693500000001,25.078027,108a11424
1425,108年10月17日 11時11分00秒,高雄市大樹區國道3號 385公里700.0公尺處南側向外側,死亡1;受傷0,營業用-半聯結車;自用-小客車;自用-小客車,120.452583,22.764554999999998,108a11425
1426,108年10月17日 14時59分00秒,臺中市太平區太平里長億六街222號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車;自用-小貨車(含客、貨兩用),120.714863,24.120865,108a11426
1427,108年10月17日 18時07分00秒,宜蘭縣宜蘭市環市東路2段口 / 宜蘭縣宜蘭市黎明三路口,死亡1;受傷0,自用-小客車;普通重型-機車,121.771492,24.748103,108a11427
1428,108年10月17日 22時58分00秒,高雄市美濃區光復街中壇568電桿號前0.0公尺前,死亡1;受傷0,腳踏自行車-慢車,120.5375,22.8714,108a11428
1429,108年10月18日 00時26分50秒,臺南市新市區社內里中山路口 / 臺南市新市區社內里新港社大道口,死亡1;受傷0,普通重型-機車;自用-小客車,120.281807,23.062357000000002,108a11429
1430,108年10月18日 06時21分00秒,新北市新莊區中華路2段57號前0.0公尺,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車,121.45308200000001,25.046917,108a11430
1431,108年10月18日 16時40分53秒,臺南市六甲區台1線 299公里南側向外側,死亡1;受傷1,普通重型-機車;乘客-人,120.31556599999999,23.241381,108a11431
1432,108年10月18日 20時09分00秒,臺東縣東河鄉台11線 134公里南側向外側,死亡1;受傷0,自用-小客車,121.281628,22.953007999999997,108a11432
1433,108年10月18日 21時33分00秒,臺中市神岡區三角里大富路301號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.68426399999998,24.232015,108a11433
